name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Washington,DC,USA",2020-05-01,18.8,11.6,14.9,18.8,11.6,14.9,8.9,69.6,2.607,100,29.17,rain,0.0,0.0,38.9,25.7,321.2,1008.5,66.7,16.0,111.8,9.5,6,2020-05-01T06:09:41,2020-05-01T20:01:16,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2020-05-02,22.1,11.1,16.3,22.1,11.1,16.3,6.4,54.0,0.0,0,0.0,无降水,0.0,0.0,39.6,26.1,246.4,1017.3,30.2,15.9,161.8,14.0,9,2020-05-02T06:08:30,2020-05-02T20:02:13,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KGAI,KADW,KDAA,AS365,72033493764,74594013705"
"Washington,DC,USA",2020-05-03,24.9,15.6,18.6,24.9,15.6,18.6,13.4,72.5,10.234,100,16.67,rain,0.0,0.0,46.8,21.4,193.9,1010.2,71.7,15.2,67.2,5.7,4,2020-05-03T06:07:21,2020-05-03T20:03:11,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2020-05-04,23.8,14.3,19.2,23.8,14.3,19.2,7.8,53.8,15.555,100,12.5,rain,0.0,0.0,68.8,44.9,317.0,1009.1,50.3,15.2,152.5,13.3,8,2020-05-04T06:06:12,2020-05-04T20:04:08,0.4,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2020-05-05,14.3,9.3,12.3,14.3,8.0,12.1,3.3,55.6,4.488,100,16.67,rain,0.0,0.0,28.4,24.0,350.2,1014.5,81.0,15.2,57.0,5.0,2,2020-05-05T06:05:06,2020-05-05T20:05:05,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KIAD,KDCA,72405013743,72403793728,72403093738,D6279,F0198,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2020-05-06,13.8,8.8,11.2,13.8,5.4,10.5,7.8,80.9,1.657,100,33.33,rain,0.0,0.0,42.7,27.0,325.8,1009.1,79.1,13.4,46.5,4.0,2,2020-05-06T06:04:00,2020-05-06T20:06:02,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KIAD,KDCA,72405013743,72403793728,D6279,72403093738,F0198,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2020-05-07,19.9,7.0,13.3,19.9,4.8,12.4,1.2,50.5,0.46,100,16.67,rain,0.0,0.0,53.6,24.7,310.3,1012.1,33.9,15.9,139.2,12.0,8,2020-05-07T06:02:56,2020-05-07T20:06:58,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,74594013705"
"Washington,DC,USA",2020-05-08,19.9,6.7,14.0,19.9,1.6,13.5,4.9,56.5,3.255,100,20.83,rain,0.0,0.0,69.5,40.0,248.7,1008.3,62.9,15.9,44.4,3.9,2,2020-05-08T06:01:53,2020-05-08T20:07:55,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"C6294,KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2020-05-09,10.6,2.8,6.8,10.6,-1.7,3.6,-5.7,41.9,0.0,0,0.0,无降水,0.0,0.0,64.3,40.8,306.3,1017.5,40.5,16.0,105.1,9.2,5,2020-05-09T06:00:51,2020-05-09T20:08:51,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KGAI,KADW,KDAA,AS365,72033493764,74594013705"
"Washington,DC,USA",2020-05-10,18.3,3.1,11.1,18.3,0.1,10.2,-1.2,44.9,0.0,0,0.0,无降水,0.0,0.0,39.9,30.4,201.2,1021.0,22.4,16.0,132.7,11.6,8,2020-05-10T05:59:51,2020-05-10T20:09:47,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
